,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left,state
5807,1.03816843,1.0988481,1.3,0.8650548,-0.0171043277,-0.004422486,-0.16625537,0.02719602,False,False,abnormal
5809,1.05553722,1.09920263,1.3,0.8639553,-0.0163520575,-0.00520586967,-0.166256666,0.0271400213,False,False,abnormal
5810,1.05553722,1.09920263,1.3,0.8639553,-0.0163520575,-0.00520586967,-0.166256666,0.0271400213,False,False,abnormal
5811,1.05553722,1.09920263,1.3,0.8639553,-0.0163520575,-0.00520586967,-0.166256666,0.0271400213,False,False,abnormal
5814,1.05553722,1.09920263,1.3,0.8639553,-0.0163520575,-0.00520586967,-0.166256666,0.0271400213,False,False,abnormal
5813,1.05553722,1.09920263,1.3,0.8639553,-0.0163520575,-0.00520586967,-0.166256666,0.0271400213,False,False,abnormal
5812,1.05553722,1.09920263,1.3,0.8639553,-0.0163520575,-0.00520586967,-0.166256666,0.0271400213,False,False,abnormal
5818,1.047368,1.10244846,1.3,0.8610112,-0.0145687163,-0.006752521,-0.166256741,0.0275287926,False,False,abnormal
5816,1.047368,1.10244846,1.3,0.8610112,-0.0145687163,-0.006752521,-0.166256741,0.0275287926,False,False,abnormal
5817,1.047368,1.10244846,1.3,0.8610112,-0.0145687163,-0.006752521,-0.166256741,0.0275287926,False,False,abnormal
5815,1.047368,1.10244846,1.3,0.8610112,-0.0145687163,-0.006752521,-0.166256741,0.0275287926,False,False,abnormal
5820,1.03566074,1.10823536,1.3,0.856257856,-0.0118956864,-0.008983165,-0.166256055,0.0283494,False,False,abnormal
5822,1.03566074,1.10823536,1.3,0.856257856,-0.0118956864,-0.008983165,-0.166256055,0.0283494,False,False,abnormal
5819,1.047368,1.10244846,1.3,0.8610112,-0.0145687163,-0.006752521,-0.166256741,0.0275287926,False,False,abnormal
5821,1.03566074,1.10823536,1.3,0.856257856,-0.0118956864,-0.008983165,-0.166256055,0.0283494,False,False,abnormal
5823,1.03566074,1.10823536,1.3,0.856257856,-0.0118956864,-0.008983165,-0.166256055,0.0283494,False,False,abnormal
5824,1.03566074,1.10823536,1.3,0.856257856,-0.0118956864,-0.008983165,-0.166256055,0.0283494,False,False,abnormal
5826,1.02093792,1.116241,1.3,0.8498129,-0.008468449,-0.0118034482,-0.166257158,0.0295763612,False,False,abnormal
5825,1.02093792,1.116241,1.3,0.8498129,-0.008468449,-0.0118034482,-0.166257158,0.0295763612,False,False,abnormal
5827,1.02093792,1.116241,1.3,0.8498129,-0.008468449,-0.0118034482,-0.166257158,0.0295763612,False,False,abnormal
5828,1.02093792,1.116241,1.3,0.8498129,-0.008468449,-0.0118034482,-0.166257158,0.0295763612,False,False,abnormal
5830,1.02093792,1.116241,1.3,0.8498129,-0.008468449,-0.0118034482,-0.166257158,0.0295763612,False,False,abnormal
5833,1.00371647,1.12606692,1.3,0.841828763,-0.00442057848,-0.0151168406,-0.1662561,0.03117609,False,False,abnormal
5829,1.02093792,1.116241,1.3,0.8498129,-0.008468449,-0.0118034482,-0.166257158,0.0295763612,False,False,abnormal
5831,1.00371647,1.12606692,1.3,0.841828763,-0.00442057848,-0.0151168406,-0.1662561,0.03117609,False,False,abnormal
5834,1.00371647,1.12606692,1.3,0.841828763,-0.00442057848,-0.0151168406,-0.1662561,0.03117609,False,False,abnormal
5832,1.00371647,1.12606692,1.3,0.841828763,-0.00442057848,-0.0151168406,-0.1662561,0.03117609,False,False,abnormal
5835,1.00371647,1.12606692,1.3,0.841828763,-0.00442057848,-0.0151168406,-0.1662561,0.03117609,False,False,abnormal
5836,0.988914251,1.12668014,1.3,0.846090734,-0.000321298838,-0.0173440874,-0.142778218,0.0315232873,False,False,abnormal
5839,0.988914251,1.12668014,1.3,0.846090734,-0.000321298838,-0.0173440874,-0.142778218,0.0315232873,False,False,abnormal
5837,0.988914251,1.12668014,1.3,0.846090734,-0.000321298838,-0.0173440874,-0.142778218,0.0315232873,False,False,abnormal
5840,0.988914251,1.12668014,1.3,0.846090734,-0.000321298838,-0.0173440874,-0.142778218,0.0315232873,False,False,abnormal
5838,0.988914251,1.12668014,1.3,0.846090734,-0.000321298838,-0.0173440874,-0.142778218,0.0315232873,False,False,abnormal
5841,0.978065252,1.12206721,1.3,0.8561371,0.0024048686,-0.0162110925,-0.122358382,0.028269887,False,False,abnormal
5843,0.978065252,1.12206721,1.3,0.8561371,0.0024048686,-0.0162110925,-0.122358382,0.028269887,False,False,abnormal
5842,0.978065252,1.12206721,1.3,0.8561371,0.0024048686,-0.0162110925,-0.122358382,0.028269887,False,False,abnormal
5846,0.978065252,1.12206721,1.3,0.8561371,0.0024048686,-0.0162110925,-0.122358382,0.028269887,False,False,abnormal
5844,0.978065252,1.12206721,1.3,0.8561371,0.0024048686,-0.0162110925,-0.122358382,0.028269887,False,False,abnormal
5847,0.970997334,1.11404324,1.3,0.8693809,0.004202783,-0.0142492652,-0.104335085,0.02445221,False,False,abnormal
5845,0.978065252,1.12206721,1.3,0.8561371,0.0024048686,-0.0162110925,-0.122358382,0.028269887,False,False,abnormal
5849,0.970997334,1.11404324,1.3,0.8693809,0.004202783,-0.0142492652,-0.104335085,0.02445221,False,False,abnormal
5848,0.970997334,1.11404324,1.3,0.8693809,0.004202783,-0.0142492652,-0.104335085,0.02445221,False,False,abnormal
5851,0.970997334,1.11404324,1.3,0.8693809,0.004202783,-0.0142492652,-0.104335085,0.02445221,False,False,abnormal
5850,0.970997334,1.11404324,1.3,0.8693809,0.004202783,-0.0142492652,-0.104335085,0.02445221,False,False,abnormal
5855,0.9674033,1.10388279,1.3,0.884053648,0.00512477756,-0.0117646754,-0.08789992,0.0204384625,False,False,abnormal
5853,0.9674033,1.10388279,1.3,0.884053648,0.00512477756,-0.0117646754,-0.08789992,0.0204384625,False,False,abnormal
5856,0.9674033,1.10388279,1.3,0.884053648,0.00512477756,-0.0117646754,-0.08789992,0.0204384625,False,False,abnormal
5852,0.970997334,1.11404324,1.3,0.8693809,0.004202783,-0.0142492652,-0.104335085,0.02445221,False,False,abnormal
5854,0.9674033,1.10388279,1.3,0.884053648,0.00512477756,-0.0117646754,-0.08789992,0.0204384625,False,False,abnormal
5857,0.9674033,1.10388279,1.3,0.884053648,0.00512477756,-0.0117646754,-0.08789992,0.0204384625,False,False,abnormal
5858,0.9669883,1.09241843,1.28,0.8991721,0.00524646044,-0.008985519,-0.07250264,0.0164589584,False,False,abnormal
5861,0.9669883,1.09241843,1.28,0.8991721,0.00524646044,-0.008985519,-0.07250264,0.0164589584,False,False,abnormal
5859,0.9669883,1.09241843,1.28,0.8991721,0.00524646044,-0.008985519,-0.07250264,0.0164589584,False,False,abnormal
5860,0.9669883,1.09241843,1.28,0.8991721,0.00524646044,-0.008985519,-0.07250264,0.0164589584,False,False,abnormal
5865,0.969780445,1.079421,1.26,0.915185869,0.00461110473,-0.0059247613,-0.0581109375,0.0124743581,False,False,abnormal
5863,0.9669883,1.09241843,1.28,0.8991721,0.00524646044,-0.008985519,-0.07250264,0.0164589584,False,False,abnormal
5864,0.969780445,1.079421,1.26,0.915185869,0.00461110473,-0.0059247613,-0.0581109375,0.0124743581,False,False,abnormal
5862,0.9669883,1.09241843,1.28,0.8991721,0.00524646044,-0.008985519,-0.07250264,0.0164589584,False,False,abnormal
5867,0.969780445,1.079421,1.26,0.915185869,0.00461110473,-0.0059247613,-0.0581109375,0.0124743581,False,False,abnormal
