,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left
7092,1.01859283,1.03833485,0.994590461,1.01433325,0.0024728328,-0.00407896936,-0.0172601938,-0.0073313117,False,True
7093,1.01909375,1.039979,0.9930627,1.01394725,0.00214764476,-0.004980713,-0.0166501552,-0.00771832466,False,True
7094,1.01909375,1.039979,0.9930627,1.01394725,0.00214764476,-0.004980713,-0.0166501552,-0.00771832466,False,True
7095,1.01909375,1.039979,0.9930627,1.01394725,0.00214764476,-0.004980713,-0.0166501552,-0.00771832466,False,True
7096,1.02097392,1.04038286,0.992730558,1.01213932,0.00103914738,-0.00505206,-0.016685456,-0.00715068,False,True
7097,1.02097392,1.04038286,0.992730558,1.01213932,0.00103914738,-0.00505206,-0.016685456,-0.00715068,False,True
7098,1.02097392,1.04038286,0.992730558,1.01213932,0.00103914738,-0.00505206,-0.016685456,-0.00715068,False,True
7099,1.02353144,1.04006362,0.993107259,1.0096395,-7.940829e-05,-0.004858047,-0.0168667734,-0.0064483583,False,False
7100,1.02353144,1.04006362,0.993107259,1.0096395,-7.940829e-05,-0.004858047,-0.0168667734,-0.0064483583,False,False
7101,1.02632165,1.03936744,0.9938614,1.00690722,-0.00110496581,-0.004477158,-0.017117694,-0.00571894646,False,False
7102,1.02632165,1.03936744,0.9938614,1.00690722,-0.00110496581,-0.004477158,-0.017117694,-0.00571894646,False,False
7103,1.02632165,1.03936744,0.9938614,1.00690722,-0.00110496581,-0.004477158,-0.017117694,-0.00571894646,False,False
7104,1.02906632,1.03851962,0.9947764,1.00423,-0.00184866786,-0.004202351,-0.0173919052,-0.00502440333,False,False
7105,1.02906632,1.03851962,0.9947764,1.00423,-0.00184866786,-0.004202351,-0.0173919052,-0.00502440333,False,False
7106,1.02906632,1.03851962,0.9947764,1.00423,-0.00184866786,-0.004202351,-0.0173919052,-0.00502440333,False,False
7107,1.03159332,1.03766131,0.9957127,1.00178051,-0.00252218544,-0.00393332541,-0.0176590383,-0.00439992547,False,False
